1,GAME Clothing Men's Premier League Reserves,26968470,Essendon Hockey Centre,ESS1,Essendon Hockey,Brunswick Hockey Club,14,0,Home Win,14,14,
1,GAME Clothing Men's Premier League Reserves,26968740,Southern United Hockey Club,MBN,Southern United Hockey Club,MCC Hockey Section,1,2,Away Win,15,16,
1,GAME Clothing Women's Premier League,26977170,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Altona Hockey Club,2,3,Away Win,16,13,
1,GAME Clothing Men's Premier League,26977260,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Altona Hockey Club,3,3,Draw,15,16,
1,GAME Clothing Women's Premier League Reserves,26977080,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Altona Hockey Club,8,1,Home Win,7,13,
1,GAME Clothing Men's Premier League Reserves,26977350,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Altona Hockey Club,0,3,Away Win,14,16,
1,Men's Pennant E,26977200,Elgar Park,ELG,KBH Brumbies Hockey Club,Waverley Hockey Club,2,3,Away Win,13,14,
1,Men's Pennant F,26977110,Elgar Park,ELG,KBH Brumbies Hockey Club,Essendon Hockey,10,1,Home Win,13,12,
1,Women's Pennant A,26977290,Elgar Park,ELG,KBH Brumbies Hockey Club,Mentone Hockey Club,1,2,Away Win,14,14,
1,Women's Pennant C,26977380,Elgar Park,ELG,KBH Brumbies Hockey Club,Greensborough Hockey Club,1,5,Away Win,13,12,
1,Women's Vic League 1,26977200,Greensborough Hockey Centre,GRN1,La Trobe University Hockey Club,Hockey Geelong Sharks,2,4,Away Win,14,14,
1,Women's Vic League 1 Reserves,26977110,Greensborough Hockey Centre,GRN1,La Trobe University Hockey Club,Hockey Geelong Sharks,0,3,Away Win,14,15,
1,Men's Vic League 2,26977290,Greensborough Hockey Centre,GRN1,La Trobe University Hockey Club,St. Bede's Hockey Club,0,2,Away Win,15,14,
